Product_name,Prices,Discounts,Reviews and Rates
Vintage T9 Dragon Rechargeable Metal Hair Clipper Gold,KSh 559,50%,5 out of 5(3)
Wahl Easy Cut Hiar Cutting Kit,"KSh 1,999",50%,5 out of 5(3)
Mosara Hydrating Butter - 400G,"KSh 1,130",50%,5 out of 5(3)
Cantu Shea Butter For Natural Hair Moisturizing Twist &Lock Gel,"KSh 1,899",50%,5 out of 5(3)
Shea Moisture Raw Shea,"KSh 2,850",50%,5 out of 5(3)
Deliya 2200W Hair Blow Dryer+6 Gifts,"KSh 1,437",50%,5 out of 5(3)
Nunix Nunix Professional Hair Blow Dryer 2400W,"KSh 1,724",50%,5 out of 5(3)
Dark And Lovely Waterless Cleanser - 250ml,KSh 595,50%,5 out of 5(3)
Shea Moisture Jamaican Black Castor Oil Reparative Leave-In Conditioner,"KSh 3,000",50%,5 out of 5(3)
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel 10 In 1 Multipurpose  Absolut Repair Oil 90ml,"KSh 3,981",50%,5 out of 5(3)
Mizani 25 Miracle Milk- Leave In Conditioner 250ml,"KSh 4,479",50%,5 out of 5(3)
Mizani Miracle Length Hairline And Root  Stimulator,"KSh 5,972",50%,5 out of 5(3)
L'Oréal professionnel L’Oréal Professionnel - Absolut Repair Golden Mask 250ml.,"KSh 2,239",50%,5 out of 5(3)
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel - Absolut Repair Shampoo  300ml,"KSh 2,156",50%,5 out of 5(3)
L'Oréal professionnel L’Oréal Professionnel Curl Expression Density Stimulator 90ML,"KSh 5,474",50%,5 out of 5(3)
L'Oréal professionnel Scalp Advanced Anti-Dandruff Dermo-Clarifier Shampoo  300ml,"KSh 2,488",50%,5 out of 5(3)
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression Intense Moisturizing  Cleansing Shampoo 300ML,"KSh 2,488",50%,5 out of 5(3)
L'Oréal professionnel L’Oréal Professionnel - Absolut Repair Golden Mask 500ml,"KSh 3,981",50%,5 out of 5(3)
L'Oréal professionnel Scalp Advanced Anti-Discomfort Soothing Hair Treatment 200ml,"KSh 3,152",50%,5 out of 5(3)
L'Oréal professionnel L’Oréal Professionnel Curl Expression Long Lasting Intensive Leave In Moisturizer 200ML,"KSh 3,152",50%,5 out of 5(3)
L'Oréal professionnel L&rsquo;Or&eacute;al Professionnel Curl Expression  Intensive Moisturizer Mask - Natural Feel 250ml,"KSh 2,571",50%,5 out of 5(3)
L'Oréal professionnel Curl Expression Intensive Moisturizer Rich Mask -  Luxurious Feel  250ml,"KSh 2,571",50%,5 out of 5(3)
L'Oréal professionnel Curl Expression Intensive Moisturizer Rich Mask - Luxurious Feel 500ml,"KSh 4,645",50%,5 out of 5(3)
L'Oréal professionnel Vitamino Color Masque- (Treatment) 250ml,"KSh 2,239",50%,5 out of 5(3)
